City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
319,muroto-misakicho,33.2833,134.15,28.32,83,7,4.82,JP,1724182735
320,cadale,2.7603,46.3222,25.2,81,100,10.96,SO,1724183259
321,keflavik,64.0049,-22.5624,11.24,76,0,3.09,IS,1724183260
322,shitanjing,39.2342,106.3439,20.59,51,65,1.17,CN,1724183262
323,dailekh,28.8333,81.6667,21.85,97,100,0.73,NP,1724183263
324,dudinka,69.4058,86.1778,10.15,85,54,1.43,RU,1724183264
325,kudat,6.8837,116.8477,27.96,83,23,1.03,MY,1724183265
326,namibe,-15.1961,12.1522,18.99,83,81,4.09,AO,1724183266
327,pacific grove,36.6177,-121.9166,26.82,76,0,2.57,US,1724183267
328,kupang,-10.1667,123.5833,25.32,83,57,3.6,ID,1724183268
329,tyukhtet,56.5389,89.3011,13.65,88,80,2.73,RU,1724183269
330,brookings,44.3114,-96.7984,17.84,97,100,3.09,US,1724183271
331,dosso,13.049,3.1937,27.63,71,93,3.68,NE,1724183272
332,mandalgovi,45.7625,106.2708,15.17,88,100,2.14,MN,1724183273
333,guajara mirim,-10.7828,-65.3394,36.09,38,40,2.06,BR,1724183274
334,oriximina,-1.7656,-55.8661,35.82,27,11,2.19,BR,1724183133
335,awjilah,29.1081,21.2869,33.69,28,0,5.12,LY,1724183276
336,arawa,-6.2132,155.5367,24.84,94,38,2.19,PG,1724183277
337,benalla,-36.55,145.9833,9.3,92,99,1.59,AU,1724183278
338,cam ranh,11.9214,109.1591,27.98,78,20,0.0,VN,1724183281
339,tondano,1.3038,124.9112,20.05,93,100,0.8,ID,1724183282
340,saint-joseph,-21.3667,55.6167,19.21,80,51,7.65,RE,1724182752
341,smidovich,48.6,133.8167,14.13,85,100,3.35,RU,1724183284
342,corner brook,48.9667,-57.9484,19.86,98,100,1.06,CA,1724183108
343,panacan,9.2463,118.4082,27.36,80,10,1.24,PH,1724183286
344,eraan,9.0629,117.7016,26.11,86,34,2.11,PH,1724183287
345,pitimbu,-7.4706,-34.8086,25.26,78,17,4.43,BR,1724183288
346,shibganj,24.6829,88.1598,26.0,91,8,1.9,BD,1724183290
347,kangding,30.0513,101.9603,13.4,87,12,2.45,CN,1724183291
348,mariestad,58.7097,13.8237,15.84,81,3,2.69,SE,1724183292
349,san jorge,-31.8962,-61.8598,9.77,96,100,3.65,AR,1724183293
350,lydenburg,-25.0978,30.4597,10.49,55,0,0.37,ZA,1724183294
351,lubango,-14.9172,13.4925,19.92,15,0,3.09,AO,1724183295
352,hotan,37.0997,79.9269,22.95,46,94,1.29,CN,1724183296
353,piranhas,-16.4269,-51.8222,36.0,12,6,2.42,BR,1724183297
354,almodovar,37.4959,-8.0937,26.63,45,0,6.93,PT,1724183299
355,lycksele,64.5954,18.6735,14.93,77,98,3.6,SE,1724183300
356,pisco,-13.7,-76.2167,19.03,100,0,4.06,PE,1724183301
357,port mathurin,-19.6833,63.4167,21.45,68,98,12.03,MU,1724183302
358,zhigalovo,54.8097,105.1578,12.5,96,2,0.48,RU,1724183303
359,bac lieu,9.285,105.7244,26.92,83,100,2.71,VN,1724183304
360,tinogasta,-28.0632,-67.5649,18.64,33,3,5.8,AR,1724183305
361,niwari,28.8833,77.5333,26.63,86,80,2.7,IN,1724183306
362,badger,64.8,-147.5333,9.09,74,75,6.69,US,1724183308
363,novo aripuana,-5.1206,-60.3797,39.74,18,83,1.52,BR,1724183309
